Event	ID	Name			Wwise Object Path	Notes
	401310688	BPM150__RhythmWholeNotes_10001000_10001000____PLAY			\Default Work Unit\2   M U S I C                          --------------------------------------------------------------------------------------------------------------------------------------\6 Concepting\Rhythm Testing 2\BPM150__RhythmWholeNotes_10001000_10001000____PLAY	
	813701266	BPM140__RhythmTriplets_10010010_10010010____PLAY			\Default Work Unit\2   M U S I C                          --------------------------------------------------------------------------------------------------------------------------------------\6 Concepting\Rhythm Testing 2\BPM140__RhythmTriplets_10010010_10010010____PLAY	
	833279204	BPM140__RhythmHipHop_10001001_00101000____PLAY			\Default Work Unit\2   M U S I C                          --------------------------------------------------------------------------------------------------------------------------------------\6 Concepting\Rhythm Testing 2\BPM140__RhythmHipHop_10001001_00101000____PLAY	
	1170321045	BPM120__RhythmHalfNotes_10101010_10101010____PLAY			\Default Work Unit\2   M U S I C                          --------------------------------------------------------------------------------------------------------------------------------------\6 Concepting\Rhythm Testing 2\BPM120__RhythmHalfNotes_10101010_10101010____PLAY	
	1209085622	RhythmTesting__Part2____PLAY			\Default Work Unit\2   M U S I C                          --------------------------------------------------------------------------------------------------------------------------------------\6 Concepting\Rhythm Testing 1\RhythmTesting__Part2____PLAY	
	1373742891	BPM150__RhythmHipHop_10001001_00101000____PLAY			\Default Work Unit\2   M U S I C                          --------------------------------------------------------------------------------------------------------------------------------------\6 Concepting\Rhythm Testing 2\BPM150__RhythmHipHop_10001001_00101000____PLAY	
	1463297925	RhythmTesting__Part1____PLAY			\Default Work Unit\2   M U S I C                          --------------------------------------------------------------------------------------------------------------------------------------\6 Concepting\Rhythm Testing 1\RhythmTesting__Part1____PLAY	
	1647188362	BPM150__RhythmHalfNotes_10101010_10101010____PLAY			\Default Work Unit\2   M U S I C                          --------------------------------------------------------------------------------------------------------------------------------------\6 Concepting\Rhythm Testing 2\BPM150__RhythmHalfNotes_10101010_10101010____PLAY	
	1746204227	BPM130__RhythmTriplets_10010010_10010010____PLAY			\Default Work Unit\2   M U S I C                          --------------------------------------------------------------------------------------------------------------------------------------\6 Concepting\Rhythm Testing 2\BPM130__RhythmTriplets_10010010_10010010____PLAY	
	1749380265	BPM150__RhythmTriplets_10010010_10010010____PLAY			\Default Work Unit\2   M U S I C                          --------------------------------------------------------------------------------------------------------------------------------------\6 Concepting\Rhythm Testing 2\BPM150__RhythmTriplets_10010010_10010010____PLAY	
	2179830357	BPM120__RhythmWholeNotes_10001000_10001000____PLAY			\Default Work Unit\2   M U S I C                          --------------------------------------------------------------------------------------------------------------------------------------\6 Concepting\Rhythm Testing 2\BPM120__RhythmWholeNotes_10001000_10001000____PLAY	
	2189560544	BPM130__RhythmHalfNotes_10101010_10101010____PLAY			\Default Work Unit\2   M U S I C                          --------------------------------------------------------------------------------------------------------------------------------------\6 Concepting\Rhythm Testing 2\BPM130__RhythmHalfNotes_10101010_10101010____PLAY	
	2265831223	BPM140__RhythmHalfNotes_10101010_10101010____PLAY			\Default Work Unit\2   M U S I C                          --------------------------------------------------------------------------------------------------------------------------------------\6 Concepting\Rhythm Testing 2\BPM140__RhythmHalfNotes_10101010_10101010____PLAY	
	2522976977	BPM130__RhythmHipHop_10001001_00101000____PLAY			\Default Work Unit\2   M U S I C                          --------------------------------------------------------------------------------------------------------------------------------------\6 Concepting\Rhythm Testing 2\BPM130__RhythmHipHop_10001001_00101000____PLAY	
	2809597170	BPM120__RhythmHipHop_10001001_00101000____PLAY			\Default Work Unit\2   M U S I C                          --------------------------------------------------------------------------------------------------------------------------------------\6 Concepting\Rhythm Testing 2\BPM120__RhythmHipHop_10001001_00101000____PLAY	
	3559964646	BPM130__RhythmWholeNotes_10001000_10001000____PLAY			\Default Work Unit\2   M U S I C                          --------------------------------------------------------------------------------------------------------------------------------------\6 Concepting\Rhythm Testing 2\BPM130__RhythmWholeNotes_10001000_10001000____PLAY	
	3922136700	BPM120__RhythmTriplets_10010010_10010010____PLAY			\Default Work Unit\2   M U S I C                          --------------------------------------------------------------------------------------------------------------------------------------\6 Concepting\Rhythm Testing 2\BPM120__RhythmTriplets_10010010_10010010____PLAY	
	4181681327	BPM140__RhythmWholeNotes_10001000_10001000____PLAY			\Default Work Unit\2   M U S I C                          --------------------------------------------------------------------------------------------------------------------------------------\6 Concepting\Rhythm Testing 2\BPM140__RhythmWholeNotes_10001000_10001000____PLAY	
	4185788291	RhythmTesting__Part3____PLAY			\Default Work Unit\2   M U S I C                          --------------------------------------------------------------------------------------------------------------------------------------\6 Concepting\Rhythm Testing 1\RhythmTesting__Part3____PLAY	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	28120518	BPM130 - Rhythm10110110	E:\Repositories\Bullet Dance\BD_Prototype2\BDWwise\.cache\Windows\SFX\BPM130 - Rhythm10101010_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\6 Concepting\Rhythm Testing 2\BPM130 - Rhythm_HalfNotes(10101010_10101010)\BPM130 - Rhythm10110110		354604
	123415533	BPM140 - Rhythm10010010	E:\Repositories\Bullet Dance\BD_Prototype2\BDWwise\.cache\Windows\SFX\BPM140 - Rhythm10110110_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\6 Concepting\Rhythm Testing 2\BPM140 - Rhythm_Triplets(10010010_10010010)\BPM140 - Rhythm10010010		329288
	141142963	Rhythm Testing - Part 3	E:\Repositories\Bullet Dance\BD_Prototype2\BDWwise\.cache\Windows\SFX\Rhythm Testing - Part 3_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\6 Concepting\Rhythm Testing 1\Rhythm Testing - Part 3\Rhythm Testing - Part 3		1743344
	171766744	BPM150 - Rhythm10101010	E:\Repositories\Bullet Dance\BD_Prototype2\BDWwise\.cache\Windows\SFX\BPM150 - Rhythm10101010_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\6 Concepting\Rhythm Testing 2\BPM150 - Rhythm_WholeNotes(10001000_10001000)\BPM150 - Rhythm10101010		307344
	369896349	BPM150 - Rhythm10010010	E:\Repositories\Bullet Dance\BD_Prototype2\BDWwise\.cache\Windows\SFX\BPM150 - Rhythm10010010_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\6 Concepting\Rhythm Testing 2\BPM150 - Rhythm_Triplets(10010010_10010010)\BPM150 - Rhythm10010010		307344
	399351508	crash	E:\Repositories\Bullet Dance\BD_Prototype2\BDWwise\.cache\Windows\SFX\crash_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\6 Concepting\Rhythm Testing 2\BPM150 - Rhythm_Triplets(10010010_10010010)\crash		385144
	473550224	Testing Hip Hop Whole  - Intro	E:\Repositories\Bullet Dance\BD_Prototype2\BDWwise\.cache\Windows\SFX\Testing Hip Hop Whole  - Intro_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\6 Concepting\Rhythm Testing 3\BPM120 - TestingHipHop_WholeNotes  - Intro\Testing Hip Hop Whole  - Intro		1537144
	491603233	BPM130 - Rhythm10010010	E:\Repositories\Bullet Dance\BD_Prototype2\BDWwise\.cache\Windows\SFX\BPM130 - Rhythm10010010_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\6 Concepting\Rhythm Testing 2\BPM130 - Rhythm_Triplets(10010010_10010010)\BPM130 - Rhythm10010010		354604
	544342511	Testing Hip Hop Whole - 2	E:\Repositories\Bullet Dance\BD_Prototype2\BDWwise\.cache\Windows\SFX\Testing Hip Hop Whole - 2_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\6 Concepting\Rhythm Testing 3\BPM120 - TestingHipHop_WholeNotes  - Part2\Testing Hip Hop Whole - 2		2421144
	564733826	BPM130 - Rhythm10110110	E:\Repositories\Bullet Dance\BD_Prototype2\BDWwise\.cache\Windows\SFX\BPM120 - Rhythm10110110_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\6 Concepting\Rhythm Testing 2\BPM130 - Rhythm_HalfNotes(10101010_10101010)\BPM130 - Rhythm10110110		384144
	573981107	Testing Hip Hop Whole - 3	E:\Repositories\Bullet Dance\BD_Prototype2\BDWwise\.cache\Windows\SFX\Testing Hip Hop Whole - 3_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\6 Concepting\Rhythm Testing 3\BPM120 - TestingHipHop_WholeNotes  - Part3\Testing Hip Hop Whole - 3		2424144
	584052492	Testing Hip Hop Whole - 1	E:\Repositories\Bullet Dance\BD_Prototype2\BDWwise\.cache\Windows\SFX\Testing Hip Hop Whole - 1_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\6 Concepting\Rhythm Testing 3\BPM120 - TestingHipHop_WholeNotes  - Part1\Testing Hip Hop Whole - 1		2397144
	677949150	BPM130 - Rhythm10110110	E:\Repositories\Bullet Dance\BD_Prototype2\BDWwise\.cache\Windows\SFX\meh2_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\6 Concepting\Rhythm Testing 2\BPM130 - Rhythm_HalfNotes(10101010_10101010)\BPM130 - Rhythm10110110		127860
